"YearStart" "YearEnd" "Question" "DataValue"
"67865" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "415"
"67979" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "5112"
"68099" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "3340"
"68226" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "5472"
"68345" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "26851"
"68465" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "4304"
"68578" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "2630"
"68706" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "296"
"68822" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "864"
"68940" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "20299"
"69060" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "6916"
"69185" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "569"
"69298" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "3618"
"69418" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "1420"
"69538" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "9892"
"69661" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "8479"
"69774" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "2774"
"69899" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "5991"
"70011" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "3864"
"70131" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "4355"
"70258" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "3974"
"70375" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "1647"
"70496" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "10797"
"70613" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "4694"
"70736" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "6610"
"70854" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "3092"
"70976" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "1200"
"71095" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "9565"
"71218" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "712"
"71339" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "2065"
"71460" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "1326"
"71585" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "6460"
"71698" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "1860"
"71821" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "2301"
"71944" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "13254"
"72064" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "14009"
"72177" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "5467"
"72299" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "4157"
"72422" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "12862"
"72536" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "1130"
"72660" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "5014"
"72783" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "895"
"72896" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "7755"
"73019" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "19822"
"73073" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "281008"
"73157" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "1158"
"73276" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "5660"
"73391" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "809"
"73519" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "6106"
"73639" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "5317"
"73752" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "3171"
"73876" 2013 2013 "Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years" "658"
