"YearStart" "YearEnd" "Question" "DataValue"
"118879" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "188"
"118999" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "2628"
"119120" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "1664"
"119239" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "128546"
"119242" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "2164"
"119362" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "13542"
"119482" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "1576"
"119603" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "1273"
"119723" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "207"
"119846" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "404"
"119969" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "8456"
"120087" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "3636"
"120206" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "634"
"120325" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "1422"
"120447" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "610"
"120569" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "5337"
"120688" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "3073"
"120808" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "1343"
"120926" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "2073"
"121049" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "2039"
"121169" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "2371"
"121289" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "2280"
"121410" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "619"
"121528" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "4414"
"121648" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "2081"
"121771" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "2989"
"121893" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "1502"
"122015" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "415"
"122136" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "4410"
"122259" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "343"
"122379" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "776"
"122502" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "457"
"122621" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "3440"
"122742" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "677"
"122862" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "897"
"122983" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "6139"
"123103" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "5788"
"123222" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "1893"
"123343" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "1763"
"123462" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "6546"
"123582" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "433"
"123703" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "2349"
"123822" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "408"
"123943" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "3120"
"124065" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "9305"
"124197" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "809"
"124318" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "3394"
"124438" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "281"
"124558" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "2513"
"124678" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "2520"
"124798" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "1140"
"124920" 2012 2012 "Mortality from cerebrovascular disease (stroke)" "205"
