"YearStart" "YearEnd" "Question" "DataValue"
"62609" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "5.4"
"63773" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "7.6"
"70928" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "4.6"
"73952" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "5.1"
"73987" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "9.9"
"74014" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "8.8"
"74049" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6"
"74105" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "4.8"
"74168" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "4.5"
"74201" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "7.1"
"74265" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "7.1"
"74300" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "4.9"
"74333" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "3.6"
"74367" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6.2"
"74401" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "5.3"
"74435" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6"
"74469" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "7.6"
"74503" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6"
"74538" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "11.2"
"74572" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "7.5"
"74606" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "5.4"
"74639" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "5.5"
"74673" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "7.8"
"74707" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "7.4"
"74741" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "4.3"
"74775" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "8.1"
"74810" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6.7"
"74843" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6.1"
"74877" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6.8"
"74912" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "4.2"
"74945" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "5.3"
"74980" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "5.9"
"75015" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "5.6"
"75048" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6.7"
"75081" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "7.5"
"75115" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6.2"
"75149" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "8.6"
"75176" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6.7"
"75184" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "7.5"
"75218" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6.2"
"75285" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "3.6"
"75319" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6.5"
"75353" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "7.5"
"75387" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "4.9"
"75421" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "9.4"
"75455" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "5.2"
"75469" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6.1"
"75503" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "3.8"
"75537" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6.1"
"75605" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "6"
"75639" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "5.7"
"75675" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "5.1"
"75707" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "10.5"
"75743" 2012 2012 "Prevalence of chronic obstructive pulmonary disease among adults >= 18" "7"
