"YearStart" "YearEnd" "Question" "DataValue"
"89653" 2011 2011 "Mortality from coronary heart disease" "4647"
"90117" 2011 2011 "Mortality from coronary heart disease" "1236"
"91240" 2011 2011 "Mortality from coronary heart disease" "16761"
"92949" 2011 2011 "Mortality from coronary heart disease" "794"
"106641" 2011 2011 "Mortality from coronary heart disease" "5517"
"106649" 2011 2011 "Mortality from coronary heart disease" "430"
"107010" 2011 2011 "Mortality from coronary heart disease" "7665"
"107129" 2011 2011 "Mortality from coronary heart disease" "40121"
"107251" 2011 2011 "Mortality from coronary heart disease" "3580"
"107371" 2011 2011 "Mortality from coronary heart disease" "4057"
"107490" 2011 2011 "Mortality from coronary heart disease" "794"
"107728" 2011 2011 "Mortality from coronary heart disease" "27932"
"107846" 2011 2011 "Mortality from coronary heart disease" "7386"
"107964" 2011 2011 "Mortality from coronary heart disease" "1209"
"108083" 2011 2011 "Mortality from coronary heart disease" "4790"
"108204" 2011 2011 "Mortality from coronary heart disease" "1484"
"108324" 2011 2011 "Mortality from coronary heart disease" "14969"
"108444" 2011 2011 "Mortality from coronary heart disease" "8201"
"108567" 2011 2011 "Mortality from coronary heart disease" "3046"
"108685" 2011 2011 "Mortality from coronary heart disease" "5734"
"108806" 2011 2011 "Mortality from coronary heart disease" "5350"
"108924" 2011 2011 "Mortality from coronary heart disease" "7037"
"109047" 2011 2011 "Mortality from coronary heart disease" "6909"
"109164" 2011 2011 "Mortality from coronary heart disease" "1572"
"109198" 2011 2011 "Mortality from coronary heart disease" "15697"
"109402" 2011 2011 "Mortality from coronary heart disease" "3960"
"109525" 2011 2011 "Mortality from coronary heart disease" "8930"
"109644" 2011 2011 "Mortality from coronary heart disease" "3710"
"109764" 2011 2011 "Mortality from coronary heart disease" "1096"
"109884" 2011 2011 "Mortality from coronary heart disease" "10489"
"110005" 2011 2011 "Mortality from coronary heart disease" "869"
"110126" 2011 2011 "Mortality from coronary heart disease" "1750"
"110243" 2011 2011 "Mortality from coronary heart disease" "1450"
"110364" 2011 2011 "Mortality from coronary heart disease" "11783"
"110484" 2011 2011 "Mortality from coronary heart disease" "2241"
"110605" 2011 2011 "Mortality from coronary heart disease" "2557"
"110725" 2011 2011 "Mortality from coronary heart disease" "32437"
"110964" 2011 2011 "Mortality from coronary heart disease" "6313"
"111084" 2011 2011 "Mortality from coronary heart disease" "3473"
"111203" 2011 2011 "Mortality from coronary heart disease" "19386"
"111324" 2011 2011 "Mortality from coronary heart disease" "1720"
"111446" 2011 2011 "Mortality from coronary heart disease" "5158"
"111565" 2011 2011 "Mortality from coronary heart disease" "1210"
"111687" 2011 2011 "Mortality from coronary heart disease" "9962"
"111805" 2011 2011 "Mortality from coronary heart disease" "23517"
"111923" 2011 2011 "Mortality from coronary heart disease" "375295"
"111938" 2011 2011 "Mortality from coronary heart disease" "1543"
"112056" 2011 2011 "Mortality from coronary heart disease" "7550"
"112299" 2011 2011 "Mortality from coronary heart disease" "6814"
"112416" 2011 2011 "Mortality from coronary heart disease" "6762"
"112536" 2011 2011 "Mortality from coronary heart disease" "3140"
"112656" 2011 2011 "Mortality from coronary heart disease" "557"
